Region,Council,Ward,Total_Pop,Male_Pop,Female_Pop
DODOMA,KONDOA DISTRICT COUNCIL,Changaa,8436,4340,4096
DODOMA,KONDOA DISTRICT COUNCIL,Hondomairo,14481,7446,7035
DODOMA,KONDOA DISTRICT COUNCIL,Thawi,11932,6029,5903
DODOMA,KONDOA DISTRICT COUNCIL,Kikilo,9620,4906,4714
DODOMA,KONDOA DISTRICT COUNCIL,Soera,8597,4401,4196
DODOMA,KONDOA DISTRICT COUNCIL,Salanka,10675,5470,5205
DODOMA,KONDOA DISTRICT COUNCIL,Bereko,8223,4239,3984
DODOMA,KONDOA DISTRICT COUNCIL,Kikore,15529,8010,7519
DODOMA,KONDOA DISTRICT COUNCIL,Mnenia,13056,6616,6440
DODOMA,KONDOA DISTRICT COUNCIL,Masange,6556,3402,3154
DODOMA,KONDOA DISTRICT COUNCIL,Itololo,7594,3848,3746
DODOMA,KONDOA DISTRICT COUNCIL,Kisese,14921,7611,7310
DODOMA,KONDOA DISTRICT COUNCIL,Itaswi,13790,7212,6578
DODOMA,KONDOA DISTRICT COUNCIL,Keikei,13454,6802,6652
DODOMA,KONDOA DISTRICT COUNCIL,Kwadelo,13504,6642,6862
DODOMA,KONDOA DISTRICT COUNCIL,Busi,9399,4649,4750
DODOMA,KONDOA DISTRICT COUNCIL,Kalamba,14621,7243,7378
DODOMA,KONDOA DISTRICT COUNCIL,Haubi,14679,7365,7314
DODOMA,KONDOA DISTRICT COUNCIL,Kinyasi,9872,4987,4885
DODOMA,KONDOA DISTRICT COUNCIL,Pahi,15766,7870,7896
DODOMA,KONDOA DISTRICT COUNCIL,Bumbuta,10149,5291,4858
DODOMA,KONDOA TOWN COUNCIL,Kondoa Mjini,26179,12675,13504
DODOMA,KONDOA TOWN COUNCIL,Kilimani,9629,4747,4882
DODOMA,KONDOA TOWN COUNCIL,Chemchem,8351,4012,4339
DODOMA,KONDOA TOWN COUNCIL,Suruke,3734,1939,1795
DODOMA,KONDOA TOWN COUNCIL,Kingale,13152,6749,6403
DODOMA,KONDOA TOWN COUNCIL,Serya,9830,5193,4637
DODOMA,KONDOA TOWN COUNCIL,Bolisa,3919,1915,2004
DODOMA,KONDOA TOWN COUNCIL,Kolo,5649,2923,2726
DODOMA,MPWAPWA DISTRICT COUNCIL,Mazae,11011,5310,5701
DODOMA,MPWAPWA DISTRICT COUNCIL,Ving'hawe,16311,7841,8470
DODOMA,MPWAPWA DISTRICT COUNCIL,Matomondo,11228,5495,5733
DODOMA,MPWAPWA DISTRICT COUNCIL,Kimagai,9777,4792,4985
DODOMA,MPWAPWA DISTRICT COUNCIL,Chunyu,19190,9274,9916
DODOMA,MPWAPWA DISTRICT COUNCIL,Godegode,11150,5543,5607
DODOMA,MPWAPWA DISTRICT COUNCIL,Mpwapwa Mjini,24670,11690,12980
DODOMA,MPWAPWA DISTRICT COUNCIL,Lupeta,9795,4806,4989
DODOMA,MPWAPWA DISTRICT COUNCIL,Gulwe,13189,6431,6758
DODOMA,MPWAPWA DISTRICT COUNCIL,Ng'hambi,11926,5790,6136
DODOMA,MPWAPWA DISTRICT COUNCIL,Mlembule,11335,5548,5787
DODOMA,MPWAPWA DISTRICT COUNCIL,Mima,18138,8802,9336
DODOMA,MPWAPWA DISTRICT COUNCIL,Berege,12668,6166,6502
DODOMA,MPWAPWA DISTRICT COUNCIL,Chitemo,13876,6878,6998
DODOMA,MPWAPWA DISTRICT COUNCIL,Iwondo,13211,6373,6838
DODOMA,MPWAPWA DISTRICT COUNCIL,Kibakwe,19968,9616,10352
DODOMA,MPWAPWA DISTRICT COUNCIL,Lumuma,4339,2138,2201
DODOMA,MPWAPWA DISTRICT COUNCIL,Luhundwa,16424,7969,8455
DODOMA,MPWAPWA DISTRICT COUNCIL,Wotta,7194,3507,3687
DODOMA,MPWAPWA DISTRICT COUNCIL,Mbuga,6745,3420,3325
DODOMA,MPWAPWA DISTRICT COUNCIL,Kingiti,9213,4449,4764
DODOMA,MPWAPWA DISTRICT COUNCIL,Lufu,5326,2638,2688
DODOMA,MPWAPWA DISTRICT COUNCIL,Pwaga,15386,7417,7969
DODOMA,MPWAPWA DISTRICT COUNCIL,Galigali,5006,2533,2473
DODOMA,MPWAPWA DISTRICT COUNCIL,Wangi,7958,3882,4076
DODOMA,MPWAPWA DISTRICT COUNCIL,Massa,16558,8112,8446
DODOMA,MPWAPWA DISTRICT COUNCIL,Ipera,9658,4753,4905
DODOMA,MPWAPWA DISTRICT COUNCIL,Rudi,15440,7681,7759
DODOMA,MPWAPWA DISTRICT COUNCIL,Mlunduzi,14342,6986,7356
DODOMA,MPWAPWA DISTRICT COUNCIL,Mtera,14187,6887,7300
DODOMA,MPWAPWA DISTRICT COUNCIL,Chipogoro,14515,6992,7523
DODOMA,MPWAPWA DISTRICT COUNCIL,Malolo,7449,3742,3707
DODOMA,MPWAPWA DISTRICT COUNCIL,Mang'aliza,6064,3005,3059
DODOMA,KONGWA DISTRICT COUNCIL,Hogoro,22777,11072,11705
DODOMA,KONGWA DISTRICT COUNCIL,Zoissa,7426,3659,3767
DODOMA,KONGWA DISTRICT COUNCIL,Mkoka,16329,7895,8434
DODOMA,KONGWA DISTRICT COUNCIL,Makawa,11631,5677,5954
DODOMA,KONGWA DISTRICT COUNCIL,Chitego,15434,7681,7753
DODOMA,KONGWA DISTRICT COUNCIL,Matongoro,11513,5510,6003
DODOMA,KONGWA DISTRICT COUNCIL,Songambele,23342,11119,12223
